3;0.00;0.00;0.00;0.00;0.00
7;2.00;5.00;6.00;8.00;10.00
11;0.00;2.00;4.00;5.00;5.00
16;0.00;0.00;0.00;0.00;0.00
20;2.00;4.00;5.00;7.00;7.00
21;0.00;0.00;0.00;0.00;0.00
28;2.00;5.00;6.00;8.00;10.00
29;2.00;5.00;5.00;5.00;5.00
38;2.00;5.00;6.00;8.00;0.00
40;2.00;5.00;6.00;8.00;10.00
43;0.00;0.00;0.00;0.00;0.00
65;0.00;0.00;0.00;0.00;0.00
73;2.00;5.00;6.00;8.00;7.00
75;2.00;5.00;6.00;7.00;0.00
79;5.00;8.00;10.00;12.00;0.00
82;0.00;0.00;0.00;0.00;0.00
98;0.00;0.00;0.00;0.00;0.00
105;2.00;8.00;8.00;8.00;6.50
115;5.00;8.00;10.00;12.00;5.00
118;2.00;5.00;5.00;5.00;7.00
186;0.00;2.00;4.00;6.00;0.00
192;2.00;5.00;5.00;5.00;0.00
195;2.00;5.00;6.00;8.00;15.00
196;2.00;5.00;5.00;7.00;10.00
199;2.00;4.00;5.00;5.00;7.00
200;2.00;4.00;4.00;4.00;5.00
214;5.00;10.00;12.00;14.00;20.00
225;2.00;5.00;6.00;8.00;10.00
237;2.00;6.00;7.00;8.00;9.00
261;0.00;0.00;0.00;0.00;0.00
262;2.00;5.00;6.00;8.00;0.00
282;0.00;0.00;0.00;0.00;0.00
293;0.00;0.00;0.00;0.00;0.00
296;0.00;0.00;0.00;0.00;3.00
300;0.00;0.00;0.00;0.00;0.00
305;0.00;0.00;0.00;0.00;0.00
336;0.00;0.00;0.00;0.00;0.00
369;0.00;2.00;3.00;4.00;0.00
375;5.00;8.00;9.00;10.00;15.00
386;0.00;0.00;0.00;0.00;0.00
401;5.00;5.00;5.00;5.00;13.00
408;2.00;5.00;6.00;7.00;15.00
410;5.00;15.00;16.00;20.00;25.00
421;2.00;5.00;5.00;5.00;0.00
424;0.00;0.00;0.00;0.00;0.00
431;0.00;2.00;4.00;6.00;0.00
433;2.00;5.00;6.00;8.00;12.00
434;2.00;4.00;6.00;8.00;0.00
437;0.00;0.00;0.00;0.00;0.00
457;0.00;0.00;0.00;0.00;0.00
482;5.00;8.00;10.00;12.00;0.00
492;2.00;4.00;6.00;8.00;8.00
501;2.00;5.00;6.00;7.00;12.00
504;0.00;0.00;0.00;0.00;0.00
509;0.00;0.00;0.00;0.00;0.00
535;0.00;0.00;0.00;0.00;0.00
540;0.00;0.00;0.00;0.00;5.00
543;5.00;6.00;7.00;8.00;10.00
634;0.00;2.00;4.00;6.00;5.00
637;2.00;5.00;6.00;8.00;12.00
639;5.00;10.00;10.00;12.00;13.00
641;0.00;2.00;2.00;2.00;2.00
643;2.00;8.00;10.00;12.00;15.00
646;0.00;3.00;5.00;6.00;10.00
711;0.00;0.00;0.00;0.00;0.00
720;2.00;8.00;8.00;10.00;9.00
721;0.00;0.00;0.00;0.00;0.00
730;0.00;0.00;0.00;0.00;0.00
732;0.00;0.00;0.00;0.00;0.00
734;2.00;5.00;6.00;7.00;0.00
738;0.00;2.00;2.00;3.00;0.00
740;0.00;0.00;0.00;0.00;0.00
751;2.00;2.00;2.00;2.00;3.00
757;2.00;5.00;5.00;5.00;0.00
763;0.00;0.00;0.00;0.00;9.00
769;0.00;1.00;2.00;3.00;5.00
821;2.00;3.00;4.00;6.00;8.00
837;2.00;5.00;6.00;8.00;15.00
843;2.00;5.00;6.00;8.00;10.00
859;0.00;0.00;0.00;0.00;0.00
867;2.00;5.00;6.00;8.00;22.00
881;2.00;5.00;6.00;8.00;10.00
884;5.00;8.00;10.00;12.00;7.00
897;2.00;5.00;5.00;5.00;1.00
899;0.00;0.00;0.00;0.00;0.00
901;2.00;5.00;6.00;8.00;13.00
911;0.00;0.00;0.00;0.00;0.00
912;2.00;5.00;5.00;6.00;8.00
926;2.00;5.00;5.00;5.00;0.00
936;2.00;5.00;6.00;8.00;10.00
10008;0.00;2.00;3.00;4.00;2.00
10043;2.00;2.00;2.00;2.00;12.00
10044;5.00;5.00;5.00;5.00;0.00
10054;2.00;5.00;5.00;5.00;0.00
10064;2.00;5.00;6.00;8.00;8.00
10070;0.00;0.00;2.00;4.00;0.00
10089;0.00;0.00;0.00;0.00;0.00
10090;0.00;0.00;0.00;0.00;0.00
